group,symbol,size,outer_d_mm,inner_d_mm,thickness_mm,SWD_mm,LWD_mm,unit,length_m,weight,note,列1,列2
,,,,,,,,,,,,,
H形鋼(広幅),H,6×８×100×100,,,,,,bar,,16.9,JIS G3192 相当,,
H形鋼(広幅),H,6.5×9×125×125,,,,,,bar,,23.6,JIS G3192 相当,,
H形鋼(広幅),H,7×10×150×150,,,,,,bar,,31.1,JIS G3192 相当,,
H形鋼(広幅),H,7.5×11×175×175,,,,,,bar,,40.4,JIS G3192 相当,,
H形鋼(広幅),H,8×12×200×200,,,,,,bar,,49.9,JIS G3192 相当,,
H形鋼(広幅),H,9×14×250×250,,,,,,bar,,71.8,JIS G3192 相当,,
H形鋼(広幅),H,10×15×300×300,,,,,,bar,,93,JIS G3192 相当,,
H形鋼(広幅),H,12×19×350×350,,,,,,bar,,135,JIS G3192 相当,,
H形鋼(広幅),H,13×21×400×400,,,,,,bar,,172,JIS G3192 相当,,
,,,,,,,,,,,,,
H形鋼(細幅),H,5×7×100×50,,,,,,bar,,9.3,JIS G3192 相当,,
H形鋼(細幅),H,6×8×125×60,,,,,,bar,,13.1,JIS G3192 相当,,
H形鋼(細幅),H,5×7×150×75,,,,,,bar,,14,JIS G3192 相当,,
H形鋼(細幅),H,5×8×175×90,,,,,,bar,,18,JIS G3192 相当,,
H形鋼(細幅),H,4.5×7×198×99,,,,,,bar,,17.8,JIS G3192 相当,,
H形鋼(細幅),H,5.5×8×200×100,,,,,,bar,,20.9,JIS G3192 相当,,
H形鋼(細幅),H,5×8×248×124,,,,,,bar,,25.1,JIS G3192 相当,,
H形鋼(細幅),H,6×9×250×125,,,,,,bar,,29,JIS G3192 相当,,
H形鋼(細幅),H,5.5×8×298×149,,,,,,bar,,32,JIS G3192 相当,,
H形鋼(細幅),H,6.5×9×300×150,,,,,,bar,,36.7,JIS G3192 相当,,
H形鋼(細幅),H,6×9×346×174,,,,,,bar,,41.2,,,
H形鋼(細幅),H,7×11×350×175,,,,,,bar,,49.4,,,
H形鋼(細幅),H,7×11×396×199,,,,,,bar,,56.1,,,
H形鋼(細幅),H,8×13×400×200,,,,,,bar,,65.4,,,
H形鋼(細幅),H,8×12×446×199,,,,,,bar,,65.1,,,
H形鋼(細幅),H,9×14×450×200,,,,,,bar,,74.9,,,
H形鋼(細幅),H,9×14×496×199,,,,,,bar,,77.9,,,
H形鋼(細幅),H,10×16×500×200,,,,,,bar,,88.2,,,
H形鋼(細幅),H,10×15×596×199,,,,,,bar,,92.5,,,
H形鋼(細幅),H,11×17×600×200,,,,,,bar,,103,,,
,,,,,,,,,,,,,
H形鋼(中幅),H,6×9×148×100,,,,,,bar,,20.7,JIS G3192 相当,,
H形鋼(中幅),H,6×9×194×150,,,,,,bar,,29.9,JIS G3192 相当,,
H形鋼(中幅),H,7×11×244×175,,,,,,bar,,43.6,JIS G3192 相当,,
H形鋼(中幅),H,8×12×294×200,,,,,,bar,,55.8,JIS G3192 相当,,
H形鋼(中幅),H,9×14×340×250,,,,,,bar,,78.1,JIS G3192 相当,,
H形鋼(中幅),H,10×16×390×300,,,,,,bar,,105,JIS G3192 相当,,
H形鋼(中幅),H,11×18×440×300,,,,,,bar,,121,JIS G3193 相当,,
H形鋼(中幅),H,11×15×482×300,,,,,,bar,,111,JIS G3194 相当,,
H形鋼(中幅),H,11×18×488×300,,,,,,bar,,123,JIS G3195 相当,,
H形鋼(中幅),H,12×17×582×300,,,,,,bar,,133,JIS G3196 相当,,
H形鋼(中幅),H,12×20×582×300,,,,,,bar,,147,JIS G3197 相当,,
H形鋼(中幅),H,13×20×692×300,,,,,,bar,,163,JIS G3198 相当,,
H形鋼(中幅),H,13×24×700×300,,,,,,bar,,182,JIS G3199 相当,,
,,,,,,,,,,,,,
アングル,L,3×20×20,,,,,,bar,,0.885,長さ=5.5mまたは6m,,
アングル,L,3×25×25,,,,,,bar,,1.12,長さ=5.5mまたは6m,,
アングル,L,3×30×30,,,,,,bar,,1.36,長さ=5.5mまたは6m,,
アングル,L,5×30×30,,,,,,bar,,2.16,長さ=5.5mまたは6m,,
アングル,L,3×40×40,,,,,,bar,,1.83,長さ=5.5mまたは6m,,
アングル,L,5×40×40,,,,,,bar,,2.95,長さ=5.5mまたは6m,,
アングル,L,4×50×50,,,,,,bar,,3.06,長さ=5.5mまたは6m,,
アングル,L,6×50×50,,,,,,bar,,4.43,長さ=5.5mまたは6m,,
アングル,L,6×65×65,,,,,,bar,,5.91,長さ=5.5mまたは6m,,
アングル,L,8×65×65,,,,,,bar,,7.66,長さ=5.5mまたは6m,,
アングル,L,6×75×75,,,,,,bar,,6.85,長さ=5.5mまたは6m,,
アングル,L,9×75×75,,,,,,bar,,9.96,長さ=5.5mまたは6m,,
アングル,L,12×75×75,,,,,,bar,,13,長さ=5.5mまたは6m,,
アングル,L,7×90×90,,,,,,bar,,9.59,長さ=5.5mまたは6m,,
アングル,L,10×90×90,,,,,,bar,,13.3,長さ=5.5mまたは6m,,
アングル,L,13×90×90,,,,,,bar,,17,長さ=5.5mまたは6m,,
アングル,L,7×100×100,,,,,,bar,,10.7,長さ=5.5mまたは6m,,
アングル,L,10×100×100,,,,,,bar,,14.9,長さ=5.5mまたは6m,,
アングル,L,13×100×100,,,,,,bar,,19.1,長さ=5.5mまたは6m,,
アングル,L,9×130×130,,,,,,bar,,17.9,長さ=5.5mまたは6m,,
アングル,L,12×130×130,,,,,,bar,,23.4,長さ=5.5mまたは6m,,
アングル,L,15×130×130,,,,,,bar,,28.8,長さ=5.5mまたは6m,,
アングル,L,12×150×150,,,,,,bar,,27.3,長さ=5.5mまたは6m,,
アングル,L,15×150×150,,,,,,bar,,33.6,長さ=5.5mまたは6m,,
アングル,L,19×150×150,,,,,,bar,,41.9,長さ=5.5mまたは6m,,
アングル,L,15×200×200,,,,,,bar,,45.3,長さ=5.5mまたは6m,,
アングル,L,20×200×200,,,,,,bar,,59.7,長さ=5.5mまたは6m,,
,,,,,,,,,,,,,
チャンネル,C,75×40×5,,,,,,bar,,6.92,長さ=5.5mまたは6m,,
チャンネル,C,100×50×5,,,,,,bar,,9.36,長さ=5.5mまたは6m,,
チャンネル,C,125×65×6,,,,,,bar,,13.4,長さ=5.5mまたは6m,,
チャンネル,C,150×75×6.5,,,,,,bar,,18.6,長さ=5.5mまたは6m,,
チャンネル,C,150×75×9,,,,,,bar,,24,長さ=5.5mまたは6m,,
チャンネル,C,200×80×7.5,,,,,,bar,,24.6,長さ=5.5mまたは6m,,
チャンネル,C,200×90×8,,,,,,bar,,30.3,長さ=5.5mまたは6m,,
チャンネル,C,250×90×9,,,,,,bar,,34.6,長さ=5.5mまたは6m,,
チャンネル,C,250×90×11,,,,,,bar,,40.2,長さ=5.5mまたは6m,,
チャンネル,C,300×90×9,,,,,,bar,,38.1,長さ=5.5mまたは6m,,
チャンネル,C,300×90×10,,,,,,bar,,43.8,長さ=5.5mまたは6m,,
チャンネル,C,300×90×12,,,,,,bar,,48.6,長さ=5.5mまたは6m,,
,,,,,,,,,,,,,
フラットバー,FB,3×13,,,3.2,,,bar,,0.306,,,
フラットバー,FB,3×16,,,3.2,,,bar,,0.377,,,
フラットバー,FB,3×19,,,3.2,,,bar,,0.447,,,
フラットバー,FB,3×22,,,3.2,,,bar,,0.518,,,
